Post Number, Time
0, 0.000087
1, 0.000080
2, 0.000090
3, 0.000084
4, 0.000076
5, 0.000087
6, 0.000084
7, 0.000085
8, 0.000082
9, 0.000081
10, 0.000084
11, 0.000097
12, 0.000083
13, 0.000086
14, 0.000081
15, 0.000083
16, 0.000084
17, 0.000082
18, 0.000090
19, 0.000089
20, 0.000086
21, 0.000081
22, 0.000072
23, 0.000082
24, 0.000084
25, 0.000093
26, 0.000070
27, 0.000095
28, 0.000110
29, 0.000105
30, 0.000098
31, 0.000081
32, 0.000106
33, 0.000088
34, 0.000091
35, 0.000082
36, 0.000212
37, 0.000205
38, 0.000089
39, 0.000085
40, 0.000099
41, 0.000086
42, 0.000087
43, 0.000085
44, 0.000104
45, 0.000105
46, 0.000082
47, 0.000085
48, 0.000084
49, 0.000092
50, 0.000086
51, 0.000088
52, 0.000097
53, 0.000088
54, 0.000062
55, 0.000089
56, 0.000097
57, 0.000080
58, 0.000090
59, 0.000080
60, 0.000064
61, 0.000090
62, 0.000085
63, 0.000058
64, 0.000073
65, 0.000086
66, 0.000066
67, 0.000069
68, 0.000060
69, 0.000084
70, 0.000084
71, 0.000058
72, 0.000080
73, 0.000081
74, 0.000064
75, 0.000058
76, 0.000058
77, 0.000061
78, 0.000082
79, 0.000065
80, 0.000093
81, 0.000097
82, 0.000087
83, 0.000093
84, 0.000106
85, 0.000066
86, 0.000087
87, 0.000084
88, 0.000063
89, 0.000083
90, 0.000083
91, 0.000084
92, 0.000089
93, 0.000030
94, 0.000089
95, 0.000098
96, 0.000063
97, 0.000061
98, 0.000061
99, 0.000084
